Mobile_Name,Memory,Screen_Size,Camera,Battery,Processor,Warranty,Rating & Reviews,Selling_Price,Discount
"REDMI 9 Power (Fiery Red, 128 GB)",4 GB RAM | 128 GB ROM,16.59 cm (6.53 inch) Full HD+ Display,48MP + 8MP + 2MP + 2MP | 8MP Front Camera,6000 mAh Battery,Qualcomm Snapdragon 662 Processor,1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase,"2,43,986 Ratings&17,101 Reviews","₹12,990",18% off
Cellecor E8 Plus,32 MB RAM | 32 MB ROM,6.1 cm (2.4 inch) Display,0.8MP Rear Camera,2750 mAh Battery,1 year warranty for device and 6months warranty for accessories,1 year warranty for device and 6months warranty for accessories,239 Ratings&14 Reviews,"₹1,322",32% off
I Kall K14,32 MB RAM | 32 MB ROM | Expandable Upto 8 GB,4.57 cm (1.8 inch) Display,1000 mAh Battery,12 Months,N/A,12 Months,"2,902 Ratings&191 Reviews",₹704,N/A
"SAMSUNG Galaxy S20 FE 5G (Cloud Lavender, 128 GB)",8 GB RAM | 128 GB ROM,16.51 cm (6.5 inch) Display,32MP Rear Camera,4500 mAh Battery,1 Year Warranty,1 Year Warranty,"1,653 Ratings&104 Reviews","₹28,269",62% off
itel MagicX Play 4G,48 MB RAM | 128 MB ROM,4.57 cm (1.8 inch) Display,0.3MP Rear Camera,1900 mAh Battery,12+1 Month Warranty | 111 Days Replacement Offer (Special Offer),12+1 Month Warranty | 111 Days Replacement Offer (Special Offer),194 Ratings&29 Reviews,"₹2,144",20% off
"REDMI Note 11S (Horizon Blue, 64 GB)",6 GB RAM | 64 GB ROM,16.33 cm (6.43 inch) Display,108MP Rear Camera,5000 mAh Battery,1 Year Manufacturer Warranty for Handset and 6 Months Warranty for In the Box Accessories,1 Year Manufacturer Warranty for Handset and 6 Months Warranty for In the Box Accessories,"3,739 Ratings&287 Reviews","₹14,290",28% off
"OPPO F21s Pro 5G (Starlight Black, 128 GB)",8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.33 cm (6.43 inch) Full HD+ E3 Super AMOLED Display,64MP + 2MP + 2MP | 16MP + 2MP Dual Front Camera,4500 mAh Battery,Qualcomm SM6225 Snapdragon 680 4G (6 nm) Processor,12 months,927 Ratings&58 Reviews,"₹23,490",26% off
"Tecno Camon 19 Pro (Mondrian, 128 GB)",8 GB RAM | 128 GB ROM | Expandable Upto 512 GB,17.27 cm (6.8 inch) Full HD+ Display,64MP + 50MP + 2MP | 32MP Front Camera,5000 mAh Battery,Mediatek MT6781 Helio G96 Processor,Domestic Warranty of 12 Months on Phone & 6 Months on Accessories,45 Ratings&6 Reviews,"₹15,999",36% off
"Tecno Spark Go 2023 (Nebula Purple, 64 GB)",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,16.66 cm (6.56 inch) HD+ Display,13MP Rear Camera | 5MP Front Camera,5000 mAh Battery,MediaTek Helio A22 Processor,Domestic Warranty of 12 Months on Phone & 6 Months on Accessories,88 Ratings&1 Reviews,"₹8,535",14% off
"vivo Y56 5G (Orange Shimmer, 128 GB)",4 GB RAM | 128 GB ROM,16.71 cm (6.58 inch) Full HD+ Display,50MP + 2MP | 16MP Front Camera,5000 mAh Battery,Mediatek Dimensity 700 Processor,1 Year Manufacturer Warranty for Handset and 6 Months Manufacturer Warranty for In-Box Accessories,111 Ratings&4 Reviews,"₹17,999",21% off
Snexian GURU 107,32 MB RAM | 32 MB ROM,4.57 cm (1.8 inch) NA Display,1.3MP Rear Camera,1000 mAh Battery,1 Year Warranty,1 Year Warranty,64 Ratings&6 Reviews,₹640,35% off
GFive U220+,32 MB RAM | 32 MB ROM,4.57 cm (1.8 inch) Display,0.3MP Rear Camera,1000 mAh Battery,1 Year Manufacturer warranty.,1 Year Manufacturer warranty.,"5,351 Ratings&574 Reviews",₹665,33% off
"realme Narzo 50A (Oxygen Green, 128 GB)",4 GB RAM | 128 GB ROM | Expandable Upto 256 GB,16.51 cm (6.5 inch) HD+ Display,50MP + 2MP + 2MP | 8MP Front Camera,6000 mAh Battery,MediaTek Helio G85 Processor,1 Year Warranty for Mobile and 6 Months for Accessories,"3,42,930 Ratings&22,204 Reviews","₹12,146",13% off
"vivo Y16 (Steller Black, 64 GB)",3 GB RAM | 64 GB ROM | Expandable Upto 1 TB,16.54 cm (6.51 inch) HD+ Display,13MP + 2MP | 5MP Front Camera,5000 mAh Lithium Battery,Mediatek Helio P35 Processor,1 Year of Device & 6 Months for In-Box Accessories,"2,655 Ratings&139 Reviews","₹10,999",21% off
"POCO F4 5G (Night Black, 256 GB)",12 GB RAM | 256 GB ROM,16.94 cm (6.67 inch) Full HD+ Display,64MP + 8MP + 2MP | 20MP Front Camera,4500 mAh Lithium-ion Polymer Battery,Qualcomm Snapdragon 870 Processor,2 Years Brand Warranty,"3,420 Ratings&459 Reviews","₹39,998",N/A
MU M230 Pro,64 MB RAM | 32 MB ROM,7.11 cm (2.8 inch) Display,0.3MP Rear Camera,2500 mAh Battery,1 Year Domestic Warranty,1 Year Domestic Warranty,3 Ratings&0 Reviews,"₹1,499",25% off
Cellecor E8,32 MB RAM | 32 MB ROM,6.1 cm (2.4 inch) Display,0.8MP Rear Camera,2750 mAh Battery,1 year warranty for device and 6months warranty for accessories,1 year warranty for device and 6months warranty for accessories,48 Ratings&3 Reviews,"₹1,396",24% off
"Infinix Note 12 5G (Snowfall, 64 GB)",6 GB RAM | 64 GB ROM | Expandable Upto 2 TB,17.02 cm (6.7 inch) Full HD+ AMOLED Display,50 MP + 2 MP Depth Lens + AI Lens | 16MP Front Camera,5000 mAh Li-ion Polymer Battery,Mediatek Dimensity 810 5G Processor,1 Year on Handset and 6 Months on Accessories,"20,124 Ratings&2,137 Reviews","₹14,999",25% off
"realme 9i (Prism Blue, 64 GB)",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,16.76 cm (6.6 inch) Full HD+ Display,50MP + 2MP + 2MP | 16MP Front Camera,5000 mAh Lithium ion Battery,Qualcomm Snapdragon 680 (SM6225) Processor,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for in the Box Accessories,"1,31,443 Ratings&7,711 Reviews","₹11,999",25% off
Kechaoda K66 (Power Silver),32 MB RAM | 64 MB ROM,4.57 cm (1.8 inch) Display,1.3MP Rear Camera,400 mAh Battery,12 MONTHS,12 MONTHS,66 Ratings&4 Reviews,"₹1,200",39% off
"REDMI 9 Activ (Carbon Black, 64 GB)",4 GB RAM | 64 GB ROM | Expandable Upto 512 GB,16.59 cm (6.53 inch) HD+ Display,13MP + 2MP | 5MP Front Camera,5000 mAh Lithium Polymer Battery,Mediatek Helio G35 Processor,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for in the Box Accessories,"10,644 Ratings&696 Reviews","₹8,799",20% off
itel IT2163,4 MB RAM | 4 MB ROM | Expandable Upto 32 GB,4.57 cm (1.8 inch) Display,1000 mAh Lithium-ion Battery,SC6531E Processor,1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-box Accessories Including Batteries from the Date of Purchase,1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-box Accessories Including Batteries from the Date of Purchase,"12,974 Ratings&1,054 Reviews","₹1,095",N/A
"vivo V25 5G (Surfing Blue, 128 GB)",8 GB RAM | 128 GB ROM,16.36 cm (6.44 inch) Full HD+ Display,64MP + 8MP + 2MP | 50MP Front Camera,4500 mAh Lithium Battery,Mediatek Dimensity 900 Processor,1 Year of Device & 6 Months for In-Box Accessories,"7,818 Ratings&739 Reviews","₹25,499",22% off
"vivo V25 5G (Elegant Black, 128 GB)",8 GB RAM | 128 GB ROM,16.36 cm (6.44 inch) Full HD+ Display,64MP + 8MP + 2MP | 50MP Front Camera,4500 mAh Lithium Battery,Mediatek Dimensity 900 Processor,1 Year of Device & 6 Months for In-Box Accessories,"7,818 Ratings&739 Reviews","₹25,290",23% off
"IQOO Neo 7 5G (Frost Blue, 128 GB)",8 GB RAM | 128 GB ROM,17.22 cm (6.78 inch) Display,64MP Rear Camera,5000 mAh Battery,12 Months Domestic Warranty,12 Months Domestic Warranty,573 Ratings&56 Reviews,"₹30,895",11% off
LAVA 34 Plus,32 MB RAM | 32 MB ROM | Expandable Upto 32 GB,6.1 cm (2.4 inch) QVGA Display,1.3MP Rear Camera,2500 mAh Battery,Brand Warranty of 1 Year Available for Mobile and 6 Months for Battery and Accessories,Brand Warranty of 1 Year Available for Mobile and 6 Months for Battery and Accessories,867 Ratings&77 Reviews,"₹1,729",N/A
LAVA 34 Plus,32 MB RAM | 32 MB ROM | Expandable Upto 32 GB,6.1 cm (2.4 inch) QVGA Display,1.3MP Rear Camera,2500 mAh Battery,Brand Warranty of 1 Year Available for Mobile and 6 Months for Battery and Accessories,Brand Warranty of 1 Year Available for Mobile and 6 Months for Battery and Accessories,867 Ratings&77 Reviews,"₹1,729",N/A
Snexian Guru 313,32 MB RAM | 32 MB ROM,4.5 cm (1.77 inch) Display,1MP Rear Camera,850 mAh Battery,3 Months Warranty,3 Months Warranty,653 Ratings&60 Reviews,₹699,30% off
itel iPower 430 Triple sim,8 MB RAM | 8 MB ROM,6.1 cm (2.4 inch) Display,0.3MP Rear Camera,2500 mAh Battery,12+1 Month Warranty | 111 Days Replacement Offer (Special Offer),12+1 Month Warranty | 111 Days Replacement Offer (Special Offer),81 Ratings&4 Reviews,"₹1,599",15% off
Nokia 110,4 MB RAM | 4 MB ROM,4.5 cm (1.77 inch) Quarter QVGA Display,0.08MP Rear Camera,800 mAh Lithium Ion Battery,Unisoc 6531E Processor,1 Year Manufacturer Warranty For Device and 6 Months Manufacturer Warranty For in-box Accessories Including Battery From The Date of Purchase,116 Ratings&6 Reviews,"₹2,086",5% off
"vivo T1 Pro 5G (Turbo Cyan, 128 GB)",6 GB RAM | 128 GB ROM,16.36 cm (6.44 inch) Full HD+ AMOLED Display,64MP + 8MP + 2MP | 16MP Front Camera,4700 mAh Lithium Battery,Qualcomm Snapdragon 778G 5G Mobile Platform Processor,1 Year Handset and 6 Months Accessories,"9,141 Ratings&868 Reviews","₹23,999",17% off
"Vox King Talking, Contact icon and Auto Call Recording",32 MB RAM | 32 MB ROM,6.1 cm (2.4 inch) Display,0.3MP Rear Camera,2500 mAh Battery,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,672 Ratings&57 Reviews,₹904,N/A
SAREGAMA Carvaan Keypad phone Telugu M21,32 MB RAM | 8 GB ROM,6.1 cm (2.4 inch) Display,0.3MP Rear Camera,2500 mAh Battery,One Year domestic warranty against manufacturing defects,One Year domestic warranty against manufacturing defects,6 Ratings&2 Reviews,"₹2,490",N/A
"vivo T1 Pro 5G (Turbo Cyan, 128 GB)",8 GB RAM | 128 GB ROM,16.36 cm (6.44 inch) Full HD+ AMOLED Display,64MP + 8MP + 2MP | 16MP Front Camera,4700 mAh Lithium Battery,Qualcomm Snapdragon 778G 5G Mobile Platform Processor,1 Year Handset and 6 Months Accessories,"20,082 Ratings&1,953 Reviews","₹24,999",19% off
GFive U106 Combo of Two,32 MB RAM | 64 MB ROM | Expandable Upto 16 GB,4.57 cm (1.8 inch) Display,0.3MP Rear Camera,950 mAh Battery,1 Year Manufacturer warranty.,1 Year Manufacturer warranty.,698 Ratings&56 Reviews,"₹1,399",29% off
"Infinix Note 12 Pro (Tuscany Blue, 256 GB)",8 GB RAM | 256 GB ROM | Expandable Upto 2 TB,17.02 cm (6.7 inch) Full HD+ AMOLED Display,108MP + 2MP Depth Lens + AI lens | 16MP Front Camera,5000 mAh Lithium Ion Polymer Battery,Mediatek Helio G99 Processor,1 Year on Handset and 6 Months on Accessories,"5,932 Ratings&604 Reviews","₹16,999",22% off
"REDMI Note 11S (Horizon Blue, 128 GB)",8 GB RAM | 128 GB ROM,16.33 cm (6.43 inch) Display,108MP Rear Camera,5000 mAh Battery,1 Year Warranty,1 Year Warranty,"1,411 Ratings&117 Reviews","₹16,390",25% off
"REDMI Note 11S (Space Black, 128 GB)",6 GB RAM | 128 GB ROM,16.33 cm (6.43 inch) Display,108MP Rear Camera,5000 mAh Battery,1 Year Warranty,1 Year Warranty,"3,739 Ratings&287 Reviews","₹16,350",22% off
MU M230 Pro,32 MB RAM | 32 MB ROM,7.11 cm (2.8 inch) Display,0.3MP Rear Camera,3000 mAh Battery,1 Year Domestic Warranty,1 Year Domestic Warranty,N/A,"₹1,499",25% off
